xval,Level I,Level II,Level III,Level IV,Level V
2.080928785,4.101002136,3.385578401,2.888391766,2.579321816,1.678663635
2.164262119,4.137024382,3.410856706,2.897645757,2.582443414,1.677918857
2.247595452,4.169671314,3.435276335,2.906899747,2.585565012,1.677174078
2.330928785,4.199259199,3.458866455,2.916153738,2.58868661,1.676429299
2.414262119,4.226074674,3.481655244,2.925407728,2.591808208,1.67568452
2.497595452,4.250377516,3.503669922,2.934661719,2.594929806,1.674939742
2.580928785,4.272403161,3.524936785,2.943915709,2.598051403,1.674194963
2.664262119,4.292364983,3.545481236,2.9531697,2.601173001,1.673450184
2.747595452,4.310456366,3.565327814,2.96242369,2.604294599,1.672705405
2.830928785,4.32685257,3.584500226,2.971677681,2.607416197,1.671960627
2.914262119,4.341712436,3.603021371,2.980931671,2.610537795,1.671215848
2.997595452,4.35517992,3.620913373,2.990185662,2.613659393,1.670471069
3.080928785,4.367385489,3.638197602,2.999439652,2.616780991,1.66972629
3.164262119,4.378447385,3.654894705,3.008693643,2.619902589,1.668981512
3.247595452,4.388472773,3.671024626,3.017947634,2.623024187,1.668236733
3.330928785,4.397558772,3.68660663,3.027201624,2.626145784,1.667491954
3.414262119,4.405793406,3.701659331,3.036455615,2.629267382,1.666747175
3.497595452,4.413256448,3.716200707,3.045709605,2.63238898,1.666002397
3.580928785,4.420020196,3.730248129,3.054963596,2.635510578,1.665257618
3.664262119,4.426150175,3.743818375,3.064217586,2.638632176,1.664512839
3.747595452,4.431705769,3.756927654,3.073471577,2.641753774,1.66376806
3.830928785,4.4367408,3.769591625,3.082725567,2.644875372,1.663023282
3.914262119,4.441304044,3.781825415,3.091979558,2.64799697,1.662278503
3.997595452,4.445439708,3.793643636,3.101233548,2.651118567,1.661533724
4.080928785,4.449187857,3.805060405,3.110487539,2.654240165,1.660788946
4.164262119,4.452584801,3.816089358,3.119741529,2.657361763,1.660044167
4.247595452,4.455663448,3.82674367,3.12899552,2.660483361,1.659299388
4.330928785,4.458453623,3.837036066,3.13824951,2.663604959,1.658554609
4.414262119,4.460982357,3.846978841,3.147503501,2.666726557,1.657809831
4.497595452,4.463274146,3.85658387,3.156757491,2.669848155,1.657065052
4.580928785,4.465351192,3.865862627,3.166011482,2.672969753,1.656320273
4.664262119,4.467233618,3.874826195,3.175265472,2.676091351,1.655575494
